单品类,2023-07-01 00:00:00,2023-07-02 00:00:00,2023-07-03 00:00:00,2023-07-04 00:00:00,2023-07-05 00:00:00,2023-07-06 00:00:00,2023-07-07 00:00:00
上海青,2.3543908970335097,0.3477679805826197,0.38383862882205094,0.22545774917317735,5.082762684200057,4.651009332476951,6.4186844043089675
云南油麦菜(份),29.11015065817762,21.929542774388615,15.470570678425396,18.79761282649776,18.504383957852564,21.817535316755063,21.771130211992663
云南生菜(份),32.69161141348346,56.03034911289021,19.442074209710533,31.810473261891484,32.29195894872572,31.841089789256802,47.60504931609549
净藕(1),9.022516939902232,7.544169992436857,6.123846084698999,5.210524729274269,6.54182070422131,8.13422390950045,6.892774263714319
双孢菇(盒),11.372387702568055,10.378125079764207,8.42553994757995,7.9660103166438585,10.800468602823585,7.759744770689055,9.661848139444949
圆茄子(2),0.5552307773924494,1.9572322188665765,1.0947301829535003,0.5106511665982472,1.4749378546817995,1.0650064693423715,1.2232643239139682
奶白菜,9.21055188049278,13.618748603063464,13.029614867220463,7.316736299563823,5.852399059783729,7.141022419749653,8.183966275958355
姜蒜小米椒组合装(小份),11.49933489021421,10.83145240915387,7.616860444518723,7.2734612862119254,9.666694770021866,6.020600076122196,14.847062640595825
娃娃菜,8.053319688468111,14.348383619563862,4.586197321115094,8.27694758616963,5.9143936944574556,5.031943953081624,5.236573792580026
小皱皮(份),18.030838074953678,17.267711590057957,11.348237694062087,8.630171945983209,10.617165318005684,10.014858231039245,11.358074875984382
小米椒(份),34.65031647684101,30.168837843021386,18.139367694015007,22.243150466229647,24.48308522553656,32.33204734727693,16.28205289464563
小青菜(1),9.643709677899649,10.098494407924298,5.832140222851635,5.153829662964087,3.908630827630101,5.3914926356338935,4.622659242524881
木耳菜,7.993958012030111,7.798170378448078,6.625348485087623,5.663091804667821,5.9124652110012255,5.171921184387939,5.829954242547325
木耳菜(份),0.9999999535966919,0.999999953596692,0.9999999535966919,0.9999999535966919,0.9999999535966918,0.9999999535967262,0.9999999535967262
枝江青梗散花,8.880454610766762,6.878744506000221,7.21565636222122,9.803390226815939,9.180565929169825,5.228628196304287,3.3052087000144006
洪湖藕带,4.305384673348646,5.701409895108864,5.720649507080959,4.075806915689535,5.232319004421849,5.7499695131624815,3.656481852607783
海鲜菇(包),13.489752029310647,14.376834043377952,2.66885704758554,8.877470884408554,7.600672408303709,7.92952584271304,9.218109025839222
竹叶菜,28.23010004661923,18.894180196999713,13.659849204087037,11.28097335247797,15.298486213673852,14.112931505700638,18.01053654210624
紫茄子(2),19.588959535961486,21.464054018519537,10.219769849521452,7.847873365564109,8.04384383557558,5.971977302291403,9.780872081854458
红椒(2),3.5979810573738535,2.835145113533674,1.6297310784731631,1.5285796327532866,1.0476683778357785,1.592539756562589,1.9479187072390114
红莲藕带,1.3614226154249032,2.249110467605714,0.8329653810395525,0.39716096487693026,1.4728435223003342,0.7721337885158116,0.7854571370764059
红薯尖,3.906620987101908,4.613898208951591,2.9853987657748746,4.5426126110391225,1.9481356200522102,4.552258637106605,4.9627945809419245
芜湖青椒(1),25.50521106317536,19.415936654653446,13.086589497139066,12.642036096461002,9.978052876784337,14.482958395092457,13.16596620907508
苋菜,13.362201435707242,10.590735059000984,7.571852049618711,7.208356416840587,4.959967427540351,8.394666743303087,7.764897809817052
菠菜(份),6.241920416757498,15.34766993304419,2.168328443743114,12.38770342113244,6.692943219912646,6.397297818891411,4.6307107274681805
菱角,2.018570033605996,2.3754109046156087,2.1094692301114546,1.9207337657219115,1.6164588682025207,3.9355709070706704,3.9297163825269354
虫草花(份),1.9796881261936903,2.4743905186681694,3.537882313286591,1.5009388730049054,1.5990233859861476,1.7293844650462784,1.5344106195792904
螺丝椒,10.094671371645846,7.825153144013893,6.089901932995758,3.882714773442099,6.099590744657329,6.722331154030465,6.2414658270881205
螺丝椒(份),16.012100366885477,20.062248211873804,11.474565497409394,6.5527910346152645,12.06134093782099,12.766126209291347,11.554982202166007
蟹味菇与白玉菇双拼(盒),1.294955936909263,1.2987445923675587,0.9061343560199956,1.3980277568943769,2.1237878231448106,1.2441178800198758,1.597616522850636
西兰花,27.475983576651426,21.332304535845473,12.25147233686301,13.909471106148509,13.489958189259195,14.338259151239548,10.40448466165431
西峡花菇(1),10.035648797744276,8.369002568339576,5.737600985519718,5.877585779583152,5.27444185191465,7.625494515216394,6.163669164249786
野藕(1),0.7309999999999999,0.7309999999999999,1.698000483499758,2.336000483499758,4.527000483499759,2.2000004834997573,0.49500048349975767
金针菇(盒),16.82128732932928,9.979623622584725,5.330471590741144,8.55612467985512,18.165056922345464,16.15084342455367,9.370513915007038
长线茄,6.686806786635589,4.9623685931079065,1.731980257469496,1.7079871305420973,3.1211079224405474,3.650475859975876,6.294807419286819
高瓜(1),3.173946325120679,6.724069954847859,6.008190090355783,3.8253313676676166,5.398202299123868,5.630989813133513,5.8535896902533855
黄心菜(2),1.2435637404821398,8.241773571960788,3.338318068997406,1.2606256353389298,3.710974399404052,1.7053485685050234,1.7232891318744357
